Movie,Genre,Runtime,Imdb_Rating,Metascore_Rating
The Upside,"Comedy, Drama",126 min,6.2,45
The Greatest Showman,"Biography, Drama, Musical",105 min,7.6,48
The Wife,Drama,99 min,7.3,77
Get Out,"Horror, Mystery, Thriller",104 min,7.7,84
Spider-Man: Homecoming,"Action, Adventure, Sci-Fi",133 min,7.5,73
Thor: Ragnarok,"Action, Adventure, Comedy",130 min,7.9,74
"Three Billboards Outside Ebbing, Missouri","Comedy, Crime, Drama",115 min,8.2,88
Call Me by Your Name,"Drama, Romance",132 min,7.9,93
The Shape of Water,"Adventure, Drama, Fantasy",123 min,7.4,87
Don't Come Back from the Moon,Drama,82 min,4.5,63
Justice League,"Action, Adventure, Fantasy",120 min,6.5,45
It,"Horror, Thriller",135 min,7.4,69
First Reformed,"Drama, Mystery, Thriller",113 min,7.1,85
John Wick: Chapter 2,"Action, Crime, Thriller",122 min,7.5,75
Molly's Game,"Biography, Crime, Drama",140 min,7.5,71
Papillon,"Crime, Drama, Mystery",133 min,7.1,51
Blade Runner 2049,"Drama, Mystery, Sci-Fi",164 min,8.0,81
Wonder,"Drama, Family",113 min,8.0,66
Wonder Woman,"Action, Adventure, Fantasy",141 min,7.5,76
Baywatch,"Action, Comedy, Crime",116 min,5.6,37
Jumanji: Welcome to the Jungle,"Action, Adventure, Comedy",119 min,7.0,58
Baby Driver,"Action, Crime, Drama",112 min,7.6,86
Lady Bird,"Comedy, Drama",94 min,7.4,94
Star Wars: Episode VIII - The Last Jedi,"Action, Adventure, Fantasy",152 min,7.2,85
You Were Never Really Here,"Crime, Drama, Mystery",89 min,6.8,84
Dunkirk,"Action, Drama, History",106 min,7.9,94
Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy",136 min,7.7,67
Logan,"Action, Drama, Sci-Fi",137 min,8.1,77
Life,"Horror, Sci-Fi, Thriller",104 min,6.6,54
Beauty and the Beast,"Family, Fantasy, Musical",129 min,7.2,65
Transformers: The Last Knight,"Action, Adventure, Sci-Fi",154 min,5.2,27
Wind River,"Crime, Drama, Mystery",107 min,7.7,73
Coco,"Animation, Adventure, Comedy",105 min,8.4,81
The Killing of a Sacred Deer,"Drama, Mystery, Thriller",121 min,7.0,73
Hostiles,"Adventure, Drama, Western",134 min,7.2,65
Murder on the Orient Express,"Crime, Drama, Mystery",114 min,6.5,52
What Happened to Monday,"Action, Crime, Drama",123 min,6.9,47
Mother!,"Drama, Horror, Mystery",121 min,6.6,75
"I, Tonya","Biography, Comedy, Drama",120 min,7.5,77
Happy Death Day,"Horror, Mystery, Thriller",96 min,6.5,57
The Post,"Biography, Drama, History",116 min,7.2,83
The Death of Stalin,"Comedy, Drama, History",107 min,7.2,88
Geostorm,"Action, Sci-Fi, Thriller",109 min,5.3,21
Alien: Covenant,"Horror, Sci-Fi, Thriller",122 min,6.4,65
Kingsman: The Golden Circle,"Action, Adventure, Comedy",141 min,6.8,44
Pirates of the Caribbean: Dead Men Tell No Tales,"Action, Adventure, Fantasy",129 min,6.6,39
xXx: Return of Xander Cage,"Action, Adventure, Thriller",107 min,5.2,42
Bright,"Action, Crime, Fantasy",117 min,6.4,29
Kong: Skull Island,"Action, Adventure, Fantasy",118 min,6.7,62
Ghost Stories,"Drama, Horror",98 min,6.4,68
Phantom Thread,"Drama, Romance",130 min,7.5,90
The Mummy,"Action, Adventure, Fantasy",110 min,5.5,34
Darkest Hour,"Biography, Drama, History",125 min,7.4,75
Escape Room,"Horror, Thriller",81 min,4.2,0
The Disaster Artist,"Biography, Comedy, Drama",104 min,7.4,76
Atomic Blonde,"Action, Mystery, Thriller",115 min,6.7,63
Gerald's Game,"Drama, Horror, Thriller",103 min,6.6,77
Downsizing,"Drama, Sci-Fi",135 min,5.7,63
Fifty Shades Darker,"Drama, Romance",118 min,4.6,33
Valerian and the City of a Thousand Planets,"Action, Adventure, Fantasy",137 min,6.5,51
Pitch Perfect 3,"Comedy, Music",93 min,5.8,40
Revenge,"Action, Horror, Thriller",108 min,6.3,81
King Arthur: Legend of the Sword,"Action, Adventure, Drama",126 min,6.8,41
The Fate of the Furious,"Action, Crime, Thriller",136 min,6.7,56
Disobedience,"Drama, Romance",114 min,6.6,74
The Ritual,"Horror, Mystery, Thriller",94 min,6.3,57
Logan Lucky,"Comedy, Crime, Drama",118 min,7.0,78
The Hitman's Bodyguard,"Action, Comedy, Thriller",118 min,6.9,47
I'm Not Here,Drama,81 min,7.5,0
Ghost in the Shell,"Action, Drama, Sci-Fi",107 min,6.4,52
Dismissed,"Drama, Horror, Thriller",87 min,5.8,0
The Florida Project,Drama,111 min,7.6,92
The Lego Batman Movie,"Animation, Action, Comedy",104 min,7.3,75
All the Money in the World,"Biography, Crime, Drama",132 min,6.8,72
American Made,"Action, Biography, Comedy",115 min,7.2,65
The Dark Tower,"Action, Adventure, Fantasy",95 min,5.7,34
Power Rangers,"Action, Adventure, Sci-Fi",124 min,6.0,44
Only the Brave,"Action, Biography, Drama",134 min,7.7,72
Cargo,"Drama, Horror, Sci-Fi",105 min,6.3,65
Der Hauptmann,"Drama, History, War",118 min,7.4,67
The Bookshop,Drama,113 min,6.5,62
Ferdinand,"Animation, Adventure, Comedy",108 min,6.7,58
The Space Between Us,"Adventure, Drama, Romance",120 min,6.4,33
Thoroughbreds,"Comedy, Crime, Drama",92 min,6.7,75
T2 Trainspotting,Drama,117 min,7.2,67
Shot Caller,"Crime, Drama, Thriller",121 min,7.3,59
The Endless,"Fantasy, Horror, Sci-Fi",111 min,6.5,80
Anna and the Apocalypse,"Comedy, Fantasy, Horror",93 min,6.3,63
The Little Hours,"Comedy, Romance",90 min,5.8,69
The Foreigner,"Action, Crime, Drama",113 min,7.0,55
Paddington 2,"Adventure, Comedy, Family",103 min,7.9,88
Annabelle: Creation,"Horror, Mystery, Thriller",109 min,6.5,62
The Babysitter,"Comedy, Horror",85 min,6.3,0
The Snowman,"Crime, Drama, Mystery",119 min,5.1,23
Before I Fall,"Drama, Fantasy, Mystery",98 min,6.4,58
Battle of the Sexes,"Biography, Comedy, Drama",121 min,6.7,73
Rockaway,"Adventure, Drama",90 min,6.5,0
American Assassin,"Action, Thriller",112 min,6.2,45
The Rider,"Drama, Western",104 min,7.5,92
The Hatton Garden Job,"Action, Crime, Thriller",93 min,5.8,0
Gifted,Drama,101 min,7.6,60
The Super,"Horror, Thriller",90 min,6.0,47
Death Note,"Adventure, Crime, Drama",101 min,4.5,43
Okja,"Action, Adventure, Drama",120 min,7.3,75
The Big Sick,"Comedy, Drama, Romance",120 min,7.6,86
You Get Me,"Crime, Drama, Romance",89 min,4.7,0
