Movie,Release_date,Popularity
The Ash Lad: In the Hall of the Mountain King,2017-09-29,65.911
Thor: Ragnarok,2017-10-25,46.242
Justice League,2017-11-15,40.615
Star Wars: The Last Jedi,2017-12-13,37.97
Spider-Man: Homecoming,2017-07-05,35.315
The Fate of the Furious,2017-04-12,34.755
Guardians of the Galaxy Vol. 2,2017-04-19,34.124
Love of My Life,2017-02-17,32.734
Logan,2017-02-28,32.53
John Wick: Chapter 2,2017-02-08,30.89
Blade Runner 2049,2017-10-04,30.839
Wonder Woman,2017-05-30,30.513
Coco,2017-10-27,29.669
Transformers: The Last Knight,2017-06-16,29.561
The Greatest Showman,2017-12-20,28.796
Get Out,2017-02-24,25.046
Beauty and the Beast,2017-03-16,25.026
Dunkirk,2017-07-19,24.402
Alien: Covenant,2017-05-09,23.179
War for the Planet of the Apes,2017-07-11,22.29
Movie,Release_date,Popularity
Jigsaw,2017-10-26,22.026
Call Me by Your Name,2017-09-01,21.614
The Shape of Water,2017-12-01,21.469
"Three Billboards Outside Ebbing, Missouri",2017-11-10,21.367
Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-23,21.154
Ghost in the Shell,2017-03-29,21.039
Valerian and the City of a Thousand Planets,2017-07-20,20.285
Atomic Blonde,2017-07-26,20.142
Kong: Skull Island,2017-03-08,19.89
Murder on the Orient Express,2017-11-03,19.828
Geostorm,2017-10-13,19.656
Baby Driver,2017-06-28,19.531
Revenge,2017-09-10,19.32
Kingsman: The Golden Circle,2017-09-20,19.286
King Arthur: Legend of the Sword,2017-05-10,18.956
Jumanji: Welcome to the Jungle,2017-12-09,18.695
Kidnap,2017-06-16,18.683
Molly's Game,2017-12-21,18.184
xXx: Return of Xander Cage,2017-01-13,18.149
Lady Bird,2017-09-08,17.918
Movie,Release_date,Popularity
Phantom Thread,2017-12-25,17.913
Baywatch,2017-05-12,17.866
The Post,2017-12-22,17.346
Fifty Shades Darker,2017-02-08,17.203
The Hitman's Bodyguard,2017-08-16,17.089
Annabelle: Creation,2017-08-03,16.798
mother!,2017-09-13,16.627
The Dark Tower,2017-08-03,16.301
Bright,2017-12-22,16.243
Below Her Mouth,2017-02-10,16.189
Renegades,2017-08-21,16.045
You Were Never Really Here,2017-11-08,15.844
Bleeding Steel,2017-12-18,15.618
Wonder,2017-11-13,15.579
Power Rangers,2017-03-23,15.472
Only the Brave,2017-09-22,15.454
A Bad Moms Christmas,2017-11-01,15.258
Cargo,2017-10-06,15.245
The Layover,2017-09-01,15.187
Darkest Hour,2017-11-22,14.901
Movie,Release_date,Popularity
The Lego Batman Movie,2017-02-08,14.704
Logan Lucky,2017-08-17,14.633
Good Time,2017-08-11,14.591
Pitch Perfect 3,2017-12-20,14.574
What Happened to Monday,2017-08-18,14.369
Wind River,2017-08-03,14.183
Downsizing,2017-12-22,14.17
The Babysitter,2017-10-13,14.162
American Made,2017-08-17,14.129
The Florida Project,2017-10-06,14.112
Despicable Me 3,2017-06-15,14.103
Flatliners,2017-09-28,14.081
Ferdinand,2017-12-09,14.023
Jungle,2017-10-14,13.931
The Foreigner,2017-09-28,13.789
The Snowman,2017-10-12,13.684
Gifted,2017-04-12,13.656
The Killing of a Sacred Deer,2017-10-20,13.576
It,2017-09-06,13.564
History of the First Kazakh Khans. The Diamond Sword,2017-01-05,13.492
Movie,Release_date,Popularity
The Man with the Iron Heart,2017-05-25,13.421
"I, Tonya",2017-12-08,13.379
Shot Caller,2017-07-13,13.322
A Dog's Purpose,2017-01-19,13.315
The Circle,2017-04-27,13.236
47 Meters Down,2017-05-25,13.207
CHiPS,2017-01-16,13.174
Happy Death Day,2017-10-12,13.144
The Big Sick,2017-06-23,13.125
Rough Night,2017-06-15,12.863
Life,2017-03-22,12.825
Detroit,2017-07-28,12.803
Acts of Vengeance,2017-10-27,12.706
The LEGO Ninjago Movie,2017-09-21,12.671
Captain Underpants: The First Epic Movie,2017-06-01,12.613
Leatherface,2017-09-14,12.465
Unlocked,2017-04-27,12.389
Before I Fall,2017-03-02,12.212
All the Money in the World,2017-12-21,12.177
Daddy's Home 2,2017-11-09,12.138
Movie,Release_date,Popularity
Bullet Head,2017-12-07,12.121
Girls Trip,2017-07-21,12.099
The Nut Job 2: Nutty by Nature,2017-08-11,12.086
Cars 3,2017-06-15,12.082
Sleepless,2017-01-12,12.059
The Girl in the Fog,2017-10-26,12.054
2:22,2017-06-29,11.973
My Little Pony: The Movie,2017-10-05,11.912
Sniper: Ultimate Kill,2017-10-03,11.875
"Everything, Everything",2017-05-18,11.801
A Cure for Wellness,2017-02-15,11.783
Mudbound,2017-11-17,11.779
Cult of Chucky,2017-09-23,11.778
The Mummy,2017-06-06,11.734
Brain on Fire,2017-02-22,11.715
American Assassin,2017-09-14,11.69
Based on a True Story,2017-11-01,11.679
The Disaster Artist,2017-03-12,11.66
The Death of Stalin,2017-10-20,11.65
The Glass Castle,2017-08-10,11.639
Movie,Release_date,Popularity
The 12th Man,2017-12-25,11.619
The Lost City of Z,2017-03-15,11.606
A Fantastic Woman,2017-04-06,11.531
Paddington 2,2017-11-09,11.415
Suck Me Shakespeer 3,2017-10-26,11.413
The Emoji Movie,2017-07-23,11.385
The Square,2017-08-25,11.379
Gerald's Game,2017-09-19,11.366
The Beguiled,2017-06-23,11.326
Hostiles,2017-12-22,11.243
Resident Evil: Vendetta,2017-05-27,11.222
Professor Marston and the Wonder Women,2017-10-13,11.165
Victoria & Abdul,2017-09-14,11.139
Smurfs: The Lost Village,2017-03-23,11.099
See You Up There,2017-10-25,11.008
Same Kind of Different as Me,2017-10-20,10.95
Pokémon the Movie: I Choose You!,2017-07-15,10.881
The Space Between Us,2017-01-26,10.881
Kill Switch,2017-06-01,10.879
Veronica,2017-08-25,10.878
Movie,Release_date,Popularity
Bring It On: Worldwide #Cheersmack,2017-08-29,10.86
15+ Coming of Age,2017-08-03,10.831
The Son of Bigfoot,2017-07-27,10.799
Inconceivable,2017-06-30,10.725
Alibi.com,2017-02-15,10.682
Escape Room,2017-09-29,10.633
Descendants 2,2017-07-21,10.601
A Ghost Story,2017-07-07,10.58
The Bad Batch,2017-06-23,10.576
Mark Felt: The Man Who Brought Down the White House,2017-09-28,10.534
Crooked House,2017-10-31,10.516
T2 Trainspotting,2017-01-27,10.454
Going in Style,2017-04-06,10.447
The Vanishing of Sidney Hall,2017-10-06,10.413
Christmas Inheritance,2017-12-15,10.381
Birth of the Dragon,2017-08-25,10.374
Olaf's Frozen Adventure,2017-10-27,10.324
Father Figures,2017-12-21,10.301
#RealityHigh,2017-07-17,10.289
After Porn Ends 2,2017-03-28,10.266
Movie,Release_date,Popularity
The Devil's Candy,2017-03-17,10.16
God's Own Country,2017-09-01,10.132
Sword Art Online: The Movie - Ordinal Scale,2017-02-18,10.059
Battle of the Sexes,2017-09-05,10.022
Attraction,2017-01-26,10.016
Once Upon a Time in Venice,2017-06-08,9.998
6 Days,2017-08-03,9.984
Jeepers Creepers 3,2017-09-26,9.95
It Comes at Night,2017-06-09,9.911
Singularity,2017-11-24,9.866
Security,2017-03-04,9.866
Blade of the Immortal,2017-04-29,9.864
The Captain,2017-09-21,9.86
Mary and the Witch's Flower,2017-07-08,9.84
The Zookeeper's Wife,2017-03-31,9.826
The Man Who Invented Christmas,2017-11-22,9.821
The Ritual,2017-10-11,9.809
Goodbye Christopher Robin,2017-09-29,9.793
The Star,2017-11-15,9.769
Dragonheart: Battle for the Heartfire,2017-07-09,9.763
