Movie,Votes,Director,Stars,Description
The Upside,8424,Neil Burger,"Kevin Hart,Bryan Cranston,Nicole Kidman,Aja Naomi King",A comedic look at the relationship between a wealthy man with quadriplegia and an unemployed man with a criminal record who's hired to help him.
The Greatest Showman,186173,Michael Gracey,"Hugh Jackman,Michelle Williams,Zac Efron,Zendaya",Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.
The Wife,10244,Björn Runge,"Glenn Close,Jonathan Pryce,Max Irons,Christian Slater","A wife questions her life choices as she travels to Stockholm with her husband, where he is slated to receive the Nobel Prize for Literature."
Get Out,363414,Jordan Peele,"Daniel Kaluuya,Allison Williams,Bradley Whitford,Catherine Keener","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
Spider-Man: Homecoming,387924,Jon Watts,"Tom Holland,Michael Keaton,Robert Downey Jr.,Marisa Tomei","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City."
Thor: Ragnarok,427652,Taika Waititi,"Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo","Thor is imprisoned on the planet Sakaar, and must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
"Three Billboards Outside Ebbing, Missouri",317218,Martin McDonagh,"Frances McDormand,Woody Harrelson,Sam Rockwell,Caleb Landry Jones",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
Call Me by Your Name,141869,Luca Guadagnino,"Armie Hammer,Timothée Chalamet,Michael Stuhlbarg,Amira Casar","In 1980s Italy, a romance blossoms between a seventeen year-old student and the older man hired as his father's research assistant."
The Shape of Water,284915,Guillermo del Toro,"Sally Hawkins,Octavia Spencer,Michael Shannon,Doug Jones","At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity."
Don't Come Back from the Moon,175,Bruce Thierry Cheung,"James Franco,Rashida Jones,Jeffrey Wahlberg,Alyssa Elle Steinacker",Fathers in a small California desert town abandon their children one by one leaving behind a wake of anger and crime as their sons and daughters come of age.
Justice League,310537,Zack Snyder,"Ben Affleck,Gal Gadot,Jason Momoa,Ezra Miller","Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his newfound ally, Diana Prince, to face an even greater enemy."
It,334516,Andy Muschietti,"Bill Skarsgård,Jaeden Lieberher,Finn Wolfhard,Sophia Lillis","In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town."
First Reformed,24454,Paul Schrader,"Ethan Hawke,Amanda Seyfried,Cedric the Entertainer,Victoria Hill","A minister of a small congregation in upstate New York grapples with mounting despair brought on by tragedy, worldly concerns and a tormented past."
John Wick: Chapter 2,258909,Chad Stahelski,"Keanu Reeves,Riccardo Scamarcio,Ian McShane,Ruby Rose","After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life."
Molly's Game,96158,Aaron Sorkin,"Jessica Chastain,Idris Elba,Kevin Costner,Michael Cera","The true story of Molly Bloom, an Olympic-class skier who ran the world's most exclusive high-stakes poker game and became an FBI target."
Papillon,23816,Michael Noer,"Charlie Hunnam,Damijan Oklopdzic,Christopher Fairbank,Jason Ryan","Wrongfully convicted for murder, Henri Charriere forms an unlikely relationship with fellow inmate and quirky convicted counterfeiter Louis Dega, in an attempt to escape from the notorious penal colony on Devil's Island."
Blade Runner 2049,359203,Denis Villeneuve,"Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista","A young blade runner's discovery of a long-buried secret leads him to track down former blade runner Rick Deckard, who's been missing for thirty years."
