Movie,Genre,Runtime,Imdb_Rating,Metascore_Rating,Release_date,Popularity,Votes,Director,Stars,Description
The Greatest Showman,"Biography, Drama, Musical",105 min,7.6,48,2017-12-20,28.796,186173,Michael Gracey,"Hugh Jackman,Michelle Williams,Zac Efron,Zendaya",Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.
Get Out,"Horror, Mystery, Thriller",104 min,7.7,84,2017-02-24,25.046,363414,Jordan Peele,"Daniel Kaluuya,Allison Williams,Bradley Whitford,Catherine Keener","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
Spider-Man: Homecoming,"Action, Adventure, Sci-Fi",133 min,7.5,73,2017-07-05,35.315,387924,Jon Watts,"Tom Holland,Michael Keaton,Robert Downey Jr.,Marisa Tomei","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City."
Thor: Ragnarok,"Action, Adventure, Comedy",130 min,7.9,74,2017-10-25,46.242,427652,Taika Waititi,"Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo","Thor is imprisoned on the planet Sakaar, and must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
"Three Billboards Outside Ebbing, Missouri","Comedy, Crime, Drama",115 min,8.2,88,2017-11-10,21.367,317218,Martin McDonagh,"Frances McDormand,Woody Harrelson,Sam Rockwell,Caleb Landry Jones",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
Call Me by Your Name,"Drama, Romance",132 min,7.9,93,2017-09-01,21.614,141869,Luca Guadagnino,"Armie Hammer,Timothée Chalamet,Michael Stuhlbarg,Amira Casar","In 1980s Italy, a romance blossoms between a seventeen year-old student and the older man hired as his father's research assistant."
The Shape of Water,"Adventure, Drama, Fantasy",123 min,7.4,87,2017-12-01,21.469,284915,Guillermo del Toro,"Sally Hawkins,Octavia Spencer,Michael Shannon,Doug Jones","At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity."
Justice League,"Action, Adventure, Fantasy",120 min,6.5,45,2017-11-15,40.615,310537,Zack Snyder,"Ben Affleck,Gal Gadot,Jason Momoa,Ezra Miller","Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his newfound ally, Diana Prince, to face an even greater enemy."
It,"Horror, Thriller",135 min,7.4,69,2017-09-06,13.564,334516,Andy Muschietti,"Bill Skarsgård,Jaeden Lieberher,Finn Wolfhard,Sophia Lillis","In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town."
John Wick: Chapter 2,"Action, Crime, Thriller",122 min,7.5,75,2017-02-08,30.89,258909,Chad Stahelski,"Keanu Reeves,Riccardo Scamarcio,Ian McShane,Ruby Rose","After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life."
